Gene	Patient06_BM	Patient06_CNS	Patient07_BM	Patient07_CNS	Patient08_BM	Patient08_CNS
TMEM198B	25	87	46	42	52	31
WIBG	9	8	11	7	11	6
DGKA	2265	5281	2519	4649	2571	4403
PMEL	0	1	0	0	0	0
CDK2	300	220	311	211	313	207
RAB5B	790	577	1496	268	1689	193
SUOX	531	2025	980	972	1101	711
IKZF4	5	4	6	4	6	3
RPS26	803	363	958	294	991	268
ERBB3	2	1	2	2	1	3
PA2G4	6950	3241	9957	2106	10663	1753
RPL41	7610	4418	10129	3136	10696	2710
ZC3H10	21	9	6	37	5	65
ESYT1	816	723	720	839	704	894
MYL6B	8	12	15	5	17	4
MYL6	2146	2348	3441	1333	3765	1047
SMARCC2	448	404	512	345	525	322
RNF41	46	32	32	49	30	58
NABP2	967	17	305	69	245	125
SLC39A5	0	0	0	0	0	0
ANKRD52	39	45	58	28	63	23
COQ10A	0	0	0	2	0	2
CS	2676	1240	2171	1593	2086	1773
CNPY2	31	65	40	47	42	41
PAN2	554	707	568	685	571	676
IL23A	12	28	4	89	3	145
STAT2	3638	3449	2680	4974	2528	5812
APOF	0	0	0	0	0	0
TIMELESS	4	1	2	2	2	3
MIP	0	0	0	0	0	0
SPRYD4	8	1	2	8	1	15
GLS2	0	0	0	0	0	0
RBMS2	232	1047	566	359	671	228
BAZ2A	2584	3113	2890	2721	2953	2570
ATP5B	4305	1712	3838	1965	3754	2084
SNORD59B	29	4	6	28	5	59
SNORD59A	19	5	5	24	4	46
PTGES3	965	758	1031	700	1044	677
NACA	3629	1844	4990	1259	5303	1070
PRIM1	872	47	496	92	446	123
HSD17B6	0	0	0	1	0	2
RDH16	1	0	0	0	0	1
ZBTB39	5	3	2	9	2	13
TAC3	2	3	5	1	5	0
NEMP1	4	6	10	2	12	1
NAB2	8	73	11	51	12	44
STAT6	1088	1287	745	2027	693	2458
LRP1	46	60	38	76	36	84
LRP1-AS	0	0	0	0	0	1
NXPH4	1	1	1	0	1	0
SHMT2	24	5	25	5	25	5
STAC3	0	0	0	0	0	0
R3HDM2	867	650	1041	522	1078	476
INHBC	2	0	1	0	1	0
INHBE	1	0	0	0	0	1
GLI1	0	0	0	0	0	0
ARHGAP9	174	522	168	543	167	552
MARS	1322	1816	1196	2046	1174	2153
MIR6758	0	6	3	1	4	0
DDIT3	577	228	229	693	192	1109
MIR616	4	9	2	20	1	27
MBD6	3	7	4	7	4	6
DCTN2	1756	742	799	1909	687	2852
KIF5A	1	1	1	0	1	0
PIP4K2C	11	4	11	4	11	4
DTX3	0	3	0	1	0	0
ARHGEF25	4	2	2	5	2	7
LOC101927583	0	0	0	0	0	1
SLC26A10	3	5	2	8	1	10
B4GALNT1	0	0	0	2	0	3
OS9	1232	1587	1263	1540	1269	1520
AGAP2	9	18	7	26	6	30
TSPAN31	17	6	9	13	8	17
CDK4	13	10	25	4	28	3
MIR6759	0	0	0	0	0	1
MARCH9	4	17	7	9	8	6
CYP27B1	1	0	0	0	0	1
METTL1	3	3	4	2	4	2
METTL21B	0	0	0	0	0	0
TSFM	12	6	19	4	20	3
AVIL	10	29	4	66	4	94
CTDSP2	862	871	957	768	977	728
LOC100506844	6	5	16	1	20	0
XRCC6BP1	4	2	3	2	3	2
SLC16A7	124	74	80	126	73	157
FAM19A2	0	4	0	0	0	0
USP15	2250	2910	2930	2120	3081	1853
MON2	1477	1830	1630	1627	1660	1548
LINC01465	2	0	0	1	0	5
MIRLET7I	0	0	0	1	0	2
PPM1H	0	0	0	0	0	0
AVPR1A	1	1	2	1	2	0
DPY19L2	4	15	8	7	9	5
TMEM5	534	148	277	326	244	455
SRGAP1	0	33	2	3	3	0
C12orf66	15	7	24	4	26	3
C12orf56	1	2	2	1	3	0
XPOT	368	176	276	248	261	288
TBK1	229	111	234	108	235	106
RASSF3	555	256	1055	118	1192	85
GNS	1070	1022	990	1122	976	1167
TBC1D30	0	0	0	0	0	0
WIF1	3	4	6	1	7	1
LEMD3	601	527	384	899	353	1128
MSRB3	2	64	11	10	15	4
RPSAP52	0	0	0	0	0	0
HMGA2	0	0	0	0	1	0
LOC100129940	0	1	0	0	0	0
LLPH	55	40	66	32	69	29
LLPH-AS1	1	0	0	0	0	0
TMBIM4	197	102	219	90	223	85
IRAK3	605	993	449	1422	424	1657
HELB	17	7	3	52	2	119
GRIP1	55	14	16	60	13	108
LOC102724421	0	0	0	0	0	0
CAND1	2070	721	1271	1295	1158	1660
DYRK2	279	181	140	412	123	584
LOC101927901	0	0	0	0	0	0
LINC01479	0	0	0	0	0	0
IFNG-AS1	6	39	5	49	5	53
IFNG	1	0	0	0	0	0
IL26	0	0	0	0	0	0
IL22	1	1	1	0	1	0
MDM1	1	2	2	1	2	1
LOC100507195	1	0	0	0	0	1
RAP1B	406	251	383	269	379	278
SNORA70G	114	425	221	193	250	138
LOC100507250	0	0	0	0	0	0
NUP107	593	608	809	419	858	358
SLC35E3	201	125	128	214	118	268
LOC100130075	0	1	0	0	0	0
MDM2	8435	7953	9436	6952	9640	6565
CPM	78	67	26	241	21	414
CPSF6	1621	1579	2414	980	2604	800
LYZ	338	550	1231	116	1575	60
YEATS4	15	2	11	4	10	5
FRS2	117	46	92	61	88	68
CCT2	175	98	253	63	272	52
BEST3	7	0	3	0	3	0
LOC101928002	0	0	0	0	0	1
RAB3IP	270	645	497	311	559	227
MYRFL	8	5	12	3	13	2
LINC01481	186	169	201	154	204	148
CNOT2	1844	2113	2154	1754	2218	1621
KCNMB4	7	0	1	8	0	20
PTPRB	0	0	0	0	0	0
PTPRR	1	0	0	0	0	0
TSPAN8	8	14	25	3	30	2
LGR5	1506	193	661	518	565	789
ZFC3H1	327	218	238	318	224	374
THAP2	2	4	3	2	3	2
TMEM19	28	5	24	6	23	7
RAB21	462	208	325	317	304	380
TBC1D15	967	656	1249	483	1311	424
MRS2P2	1	1	0	4	0	7
TPH2	0	0	0	0	0	1
TRHDE-AS1	3	3	6	1	7	0
TRHDE	1	1	2	1	2	0
ATXN7L3B	821	961	799	993	795	1007
CAPS2	10	3	9	4	9	4
GLIPR1L2	5	11	9	6	10	4
GLIPR1	235	105	137	200	124	264
KRR1	443	148	410	162	403	169
PHLDA1	0	0	0	1	0	1
NAP1L1	1012	268	1036	260	1041	257
BBS10	0	0	0	0	0	0
OSBPL8	562	116	229	343	193	542
ZDHHC17	76	103	92	81	96	73
CSRP2	112	48	96	58	94	62
E2F7	6	0	2	0	2	0
NAV3	1	1	2	1	2	0
SYT1	19	3	19	2	20	2
MIR1252	0	0	0	0	0	0
PAWR	1	0	0	0	0	0
PPP1R12A	1766	1075	1355	1478	1288	1691
OTOGL	3	4	7	2	8	1
PTPRQ	27	29	29	27	30	26
MYF6	1	1	1	0	1	0
LIN7A	0	0	0	0	0	0
PPFIA2	0	0	1	0	1	0
CCDC59	334	53	326	55	324	55
METTL25	31	10	54	5	59	3
TMTC2	3454	37	1145	143	928	252
C12orf50	0	0	0	0	0	1
C12orf29	145	91	192	65	202	57
CEP290	996	818	1207	650	1252	589
TMTC3	2	5	4	3	4	2
KITLG	2	3	5	1	5	0
DUSP6	5952	2016	1959	7646	1584	13472
POC1B	620	391	288	977	249	1441
GALNT4	6	2	4	4	3	5
ATP2B1	317	475	413	345	435	301
LINC00936	3	1	1	4	0	7
LUM	9	10	15	5	17	4
DCN	91	40	399	6	528	2
C12orf79	0	0	0	2	0	3
BTG1	2241	736	740	2777	599	4882
PLEKHG7	0	0	0	0	0	0
EEA1	480	320	481	319	481	319
LOC643339	0	0	0	0	0	0
LOC102724933	1	1	2	1	2	0
NUDT4	24	37	32	27	33	24
UBE2N	784	465	712	521	700	547
MRPL42	1121	674	1264	583	1293	549
SOCS2-AS1	14	4	11	5	11	6
SOCS2	703	309	756	283	766	273
CRADD	36	4	44	3	46	3
LOC101928731	1	3	12	0	18	0
PLXNC1	86	30	25	134	19	250
CEP83	162	147	288	73	322	54
CEP83-AS1	0	0	0	1	0	3
TMCC3	3	0	0	8	0	26
KRT19P2	0	0	0	0	0	1
NDUFA12	148	106	310	43	357	29
NR2C1	130	141	116	161	114	171
FGD6	3	2	4	1	4	1
VEZT	173	109	145	135	140	147
MIR331	0	0	0	0	0	0
MIR3685	0	0	0	0	0	0
METAP2	1377	654	1369	659	1368	660
USP44	0	13	0	2	0	1
SNRPF	5	5	9	2	10	2
CCDC38	0	0	0	0	0	0
AMDHD1	0	0	0	0	0	1
HAL	0	2	0	1	0	1
LTA4H	762	1390	789	1332	794	1309
ELK3	1814	5559	2891	3179	3160	2507
CDK17	459	868	428	945	422	979
CFAP54	3	1	4	1	4	1
NEDD1	653	230	594	258	583	270
RMST	1	0	1	0	1	0
SLC9A7P1	1	1	1	0	1	0
LOC643770	16	4	16	4	16	4
TMPO-AS1	0	0	0	0	0	0
TMPO	3363	1013	2482	1459	2343	1703
SLC25A3	316	148	288	166	283	174
SNORA53	0	0	0	0	0	0
IKBIP	19	8	5	40	4	77
APAF1	791	1091	666	1339	645	1461
ANKS1B	0	0	0	0	0	1
UHRF1BP1L	657	417	446	664	414	808
GOLGA2P5	1	1	1	2	0	2
MIR1827	0	1	0	0	0	0
ACTR6	22	16	35	9	38	7
DEPDC4	5	0	3	1	2	2
SCYL2	332	203	301	228	295	240
GAS2L3	14	6	8	12	7	17
UTP20	569	553	829	352	891	291
ARL1	60	67	116	31	131	22
CHPT1	36	18	7	128	5	290
SYCP3	32	132	31	138	31	141
GNPTAB	1418	752	842	1405	762	1832
DRAM1	748	1577	881	1296	909	1192
CCDC53	328	323	255	437	243	498
NUP37	9	7	16	3	18	2
PARPBP	18	0	9	2	8	3
IGF1	1	11	7	1	9	0
LINC00485	6	20	10	10	12	7
LOC101929058	0	0	0	0	0	1
C12orf42	0	4	0	3	0	2
STAB2	0	1	0	0	0	0
NT5DC3	400	1291	573	840	614	700
TTC41P	2	0	0	1	0	2
HSP90B1	5838	2001	6163	1875	6227	1824
C12orf73	1	3	2	1	3	0
TDG	40	29	75	13	85	9
GLT8D2	24	13	32	9	34	8
HCFC2	37	141	54	90	58	75
NFYB	63	32	46	47	43	55
TXNRD1	132	39	125	42	123	43
EID3	0	0	0	0	0	0
CHST11	135	75	160	62	165	56
SLC41A2	0	7	2	2	2	1
C12orf45	26	0	11	2	9	4
ALDH1L2	0	1	0	1	0	1
LOC414300	0	1	0	4	0	7
KIAA1033	4839	4249	3622	6013	3427	6969
APPL2	3048	5252	3479	4482	3568	4190
C12orf75	6	2	4	4	4	5
CASC18	5	5	4	7	3	9
NUAK1	0	1	0	1	0	1
CKAP4	4	53	15	13	18	7
TCP11L2	105	62	88	77	85	85
POLR3B	9	7	6	12	5	14
LOC100287944	0	0	0	0	0	0
RFX4	9	4	5	7	5	8
LOC100505978	0	0	0	0	0	0
RIC8B	15	26	11	40	10	47
TMEM263	260	100	277	93	280	90
MTERF2	1	2	1	2	1	2
CRY1	74	15	17	88	13	184
BTBD11	0	1	0	0	0	0
PWP1	25	9	30	7	31	7
PRDM4	42	52	26	91	24	115
LOC101929162	0	0	0	0	0	0
CMKLR1	24	140	58	50	68	33
FICD	27	5	4	45	3	107
SART3	270	127	102	406	85	665
ISCU	7	13	15	5	17	4
TMEM119	0	0	0	0	0	0
SELPLG	8	46	19	17	22	11
MIR4496	0	0	0	0	0	0
CORO1C	447	286	701	167	764	132
SSH1	6	6	2	21	1	35
MIR619	0	0	0	0	0	0
USP30	763	216	485	372	445	469
USP30-AS1	0	0	0	1	0	1
ALKBH2	21	11	41	5	47	3
UNG	13	1	6	4	5	7
ACACB	0	0	0	0	0	0
MYO1H	13	28	9	45	8	55
KCTD10	69	32	73	30	73	29
UBE3B	789	433	530	698	491	855
MMAB	540	587	424	784	405	886
MVK	3	7	6	3	6	2
FAM222A	0	0	0	0	0	1
FAM222A-AS1	0	0	0	2	0	3
TRPV4	0	0	0	1	0	2
GLTP	212	223	226	206	229	200
TCHP	26	20	13	45	11	64
GIT2	1202	1499	1024	1817	993	1971
ANKRD13A	2045	1704	2324	1461	2382	1369
C12orf76	9	3	6	6	6	7
IFT81	0	0	0	0	0	0
ATP2A2	956	407	804	501	777	547
ANAPC7	685	360	599	422	584	452
ARPC3	103	80	162	46	177	36
GPN3	14	19	35	6	42	3
FAM216A	5	6	6	5	7	4
VPS29	686	531	932	367	988	314
RAD9B	58	50	47	64	45	72
PPTC7	40	29	58	18	62	15
TCTN1	2	5	4	1	5	1
HVCN1	380	420	466	329	484	296
PPP1CC	260	97	282	88	286	85
CCDC63	0	0	0	0	0	1
CUX2	0	0	0	0	0	0
FAM109A	0	0	0	1	0	2
SH2B3	379	778	226	1442	205	1875
ATXN2	545	336	385	510	360	608
BRAP	1392	515	880	894	806	1129
ACAD10	242	358	126	781	111	1089
ALDH2	0	0	0	0	0	0
MAPKAPK5-AS1	8	6	13	3	14	2
MAPKAPK5	4	0	0	6	0	13
ADAM1A	25	78	17	123	15	149
TMEM116	0	3	0	1	0	1
ERP29	29	57	91	14	113	8
NAA25	1099	1759	1840	948	2029	729
TRAFD1	198	104	185	113	182	117
HECTD4	659	531	443	855	410	1046
RPL6	5352	1645	6964	1199	7323	1048
PTPN11	450	257	457	253	458	251
RPH3A	1	0	1	0	1	0
OAS1	1083	1396	2427	530	2831	351
OAS3	1879	2731	3106	1495	3418	1157
OAS2	4025	1811	6241	1070	6785	856
DTX1	0	0	0	0	0	0
RASAL1	1	0	0	0	0	0
CCDC42B	0	0	0	0	0	0
DDX54	414	110	90	689	67	1497
RITA1	1	0	0	1	0	2
IQCD	1	0	0	0	0	1
TPCN1	21	59	10	144	8	211
SLC8B1	26	53	9	177	7	294
PLBD2	4060	726	2089	1610	1841	2259
SDS	0	2	0	0	0	0
SDSL	1	0	0	0	0	0
LINC01234	0	1	0	0	0	0
RBM19	153	295	196	219	206	193
TBX3	1	1	1	0	1	0
MED13L	329	151	157	365	136	532
MIR620	0	0	0	0	0	0
LINC00173	44	108	62	71	66	60
MAP1LC3B2	8	1	3	5	2	9
C12orf49	558	287	354	496	325	625
RNFT2	2	3	1	6	1	7
HRK	10	30	5	68	4	96
FBXW8	3	1	1	4	1	6
LOC100506551	5	73	11	32	13	22
TESC	47	159	131	47	159	28
FBXO21	998	1398	1028	1349	1033	1329
NOS1	1	1	2	1	2	0
KSR2	1	1	1	0	1	0
RFC5	38	16	39	15	40	15
WSB2	6	1	3	3	2	4
VSIG10	60	80	170	23	207	13
PEBP1	94	54	125	38	132	33
TAOK3	167	132	121	194	114	228
SUDS3	76	61	93	47	97	43
SRRM4	1	1	2	1	2	0
HSPB8	1	1	1	0	1	0
LINC00934	1	1	2	1	2	0
CCDC60	1	1	1	0	1	0
TMEM233	1	1	2	1	2	0
PRKAB1	13	17	21	10	23	7
CIT	105	6	42	19	35	30
CCDC64	61	20	13	117	10	247
RAB35	151	70	40	337	31	654
GCN1	2185	2973	2136	3055	2126	3090
RPLP0	898	608	1254	408	1336	344
PXN-AS1	43	124	70	69	77	54
PXN	136	2640	464	607	586	324
SIRT4	0	0	0	1	0	2
PLA2G1B	1	0	0	0	0	0
MSI1	0	0	0	1	0	2
COX6A1	2075	1147	2055	1161	2052	1166
TRIAP1	36	26	81	10	94	6
GATC	536	752	524	774	521	783
SRSF9	5	1	1	7	0	15
DYNLL1	1456	604	1615	533	1647	506
NRAV	32	1	16	3	13	5
COQ5	150	55	69	139	60	206
RNF10	425	574	497	475	512	439
POP5	195	85	195	85	195	85
CABP1	0	0	0	0	0	1
MLEC	465	416	581	318	607	284
UNC119B	34	8	12	28	10	47
ACADS	33	23	8	107	6	204
SPPL3	28	30	29	29	29	29
XLOC_009911	5	7	12	2	14	1
HNF1A-AS1	1	2	1	2	1	3
HNF1A	1	1	0	2	0	2
C12orf43	39	79	31	104	30	117
OASL	0	17	2	6	2	3
P2RX7	338	175	177	380	156	529
P2RX4	149	332	126	405	122	441
CAMKK2	280	380	248	440	242	468
ANAPC5	965	1427	1080	1247	1103	1178
RNF34	183	263	277	160	300	130
KDM2B	69	58	50	87	47	103
MIR548AQ	0	0	0	0	0	0
ORAI1	0	0	0	0	0	1
MORN3	0	0	0	0	0	0
TMEM120B	69	228	85	177	88	159
RHOF	0	1	0	1	0	1
LINC01089	330	1284	985	346	1213	198
SETD1B	365	288	572	167	623	133
HPD	0	4	0	1	0	1
PSMD9	17	17	20	14	21	12
WDR66	3	1	0	8	0	18
BCL7A	48	16	18	52	15	85
MLXIP	3165	4718	3267	4542	3287	4469
LRRC43	1	0	0	0	0	1
IL31	0	0	0	2	0	3
B3GNT4	5	4	3	8	2	11
DIABLO	171	124	97	243	87	323
LOC101593348	1	0	0	1	0	3
VPS33A	169	103	85	236	74	335
CLIP1	311	312	288	342	284	356
CLIP1-AS1	0	0	0	0	0	0
ZCCHC8	145	147	145	147	145	147
RSRC2	1681	1494	1742	1432	1753	1406
KNTC1	144	60	95	100	87	124
HCAR2	0	1	0	0	0	0
HCAR3	0	1	0	1	0	0
HCAR1	0	1	0	0	0	0
DENR	774	539	749	560	745	570
CCDC62	8	2	10	1	11	1
HIP1R	45	17	10	96	8	197
VPS37B	32	44	20	79	18	100
ABCB9	6	0	1	3	1	5
OGFOD2	2	11	4	5	5	3
ARL6IP4	124	133	90	195	84	230
PITPNM2	0	0	0	0	0	0
MIR4304	0	0	0	0	0	0
LOC100507091	0	0	0	2	0	4
MPHOSPH9	1008	602	1039	580	1045	571
C12orf65	95	191	178	90	200	65
CDK2AP1	21	8	16	11	16	12
SBNO1	1969	2594	2782	1714	2971	1437
MIR8072	0	1	1	0	1	0
SETD8	511	234	259	529	227	748
RILPL2	3	3	1	11	0	18
SNRNP35	190	265	284	164	307	134
RILPL1	10	149	7	231	6	278
LOC101927415	0	1	2	0	2	0
TMED2	257	154	251	159	250	161
DDX55	379	299	491	219	516	192
EIF2B1	234	119	182	161	173	183
GTF2H3	24	1	9	5	7	9
TCTN2	6	0	4	0	3	0
ATP6V0A2	2257	818	1667	1177	1573	1374
DNAH10	7	0	0	2	0	6
CCDC92	360	96	107	408	85	755
ZNF664	60	16	24	48	20	76
ZNF664-FAM101A	0	0	0	1	0	2
NCOR2	647	469	582	532	571	561
SCARB1	83	101	48	194	43	256
UBC	16478	9603	9063	19665	8087	26671
DHX37	110	74	68	132	62	168
BRI3BP	5	0	1	0	1	1
THRIL	46	0	7	3	5	8
AACS	4	1	0	10	0	22
TMEM132B	1	0	0	1	0	2
LINC00943	0	0	0	0	0	0
FLJ37505	0	0	0	0	0	1
LINC00507	1	7	2	3	3	2
SLC15A4	145	75	49	277	39	481
GLT1D1	13	272	15	224	16	206
TMEM132D	0	0	0	0	0	0
FZD10	1	1	1	0	1	0
PIWIL1	1	1	1	0	1	0
STX2	25	44	15	77	14	98
RAN	1861	522	1818	536	1810	543
ADGRD1	307	20	72	118	54	246
LACAT8	0	3	0	0	0	0
LINC01257	0	0	0	0	0	0
LOC338797	2	0	1	0	1	0
SFSWAP	68	73	34	168	30	239
MMP17	0	1	0	1	0	1
ULK1	41	86	65	50	71	39
PUS1	8	7	6	10	5	12
EP400	1514	891	1760	744	1811	689
SNORA49	0	0	0	0	0	0
EP400NL	1	7	1	12	0	15
DDX51	217	254	110	574	96	811
NOC4L	90	52	58	89	53	111
GALNT9	0	0	0	2	0	3
LOC101928416	0	0	0	0	0	0
FBRSL1	140	196	173	152	181	136
LRCOL1	0	0	0	0	0	1
POLE	552	370	375	588	348	716
PXMP2	3	0	0	3	0	6
PGAM5	37	3	20	8	18	11
ANKLE2	503	361	269	764	239	1051
GOLGA3	771	709	584	988	554	1138
CHFR	68	104	28	291	24	450
LOC101928530	1	0	0	1	0	2
ZNF605	94	123	70	175	66	204
ZNF26	0	0	0	0	0	0
ZNF84	1	1	1	0	1	0
ZNF140	143	465	297	193	341	133
ZNF891	0	0	0	0	0	0
ZNF10	0	0	0	1	0	2
ZNF268	895	1289	862	1348	856	1374
ANHX	0	0	0	0	0	1
ANKRD20A9P	716	4577	1586	1764	1846	1176
TPTE2	0	0	0	0	0	0
MPHOSPH8	1059	787	1391	567	1465	494
PSPC1	641	411	479	583	453	676
ZMYM5	243	149	218	171	213	181
ZMYM2	1892	2116	1784	2271	1764	2341
GJA3	0	0	0	0	0	1
GJB2	0	1	0	8	0	16
GJB6	0	1	0	7	0	15
CRYL1	6	9	6	9	6	9
MIR4499	0	0	0	0	0	1
IFT88	296	235	266	267	261	282
IL17D	2	0	0	0	0	2
N6AMT2	7	17	21	5	26	2
XPO4	486	235	630	172	662	150
LINC00367	1	0	1	0	1	1
LATS2	260	113	175	181	163	221
SAP18	1291	357	1107	430	1075	464
SKA3	2	0	5	0	5	0
MRPL57	35	22	31	25	31	26
MIPEPP3	0	0	1	0	1	0
LINC00539	0	0	0	0	0	0
ZDHHC20	2337	913	1540	1505	1422	1862
MICU2	22	8	5	41	4	81
FGF9	0	0	0	0	0	0
SGCG	0	0	0	0	0	0
SACS	121	79	65	164	58	224
LINC00327	1	0	0	0	0	0
TNFRSF19	2	1	3	0	4	0
MIPEP	1	1	2	0	2	0
C1QTNF9B-AS1	0	0	0	0	0	0
SPATA13	67	55	45	88	42	108
MIR2276	0	0	0	0	0	1
SPATA13-AS1	1	0	0	0	0	0
C1QTNF9	0	0	0	0	0	0
PARP4	1094	1059	1094	1058	1094	1058
TPTE2P6	0	0	0	0	0	0
ATP12A	0	0	0	0	0	1
RNF17	0	1	0	0	0	0
CENPJ	183	116	136	166	128	194
TPTE2P1	0	15	4	1	6	0
PABPC3	0	0	0	0	0	0
LINC00463	1	1	1	0	1	0
MTMR6	15	13	15	14	15	14
NUPL1	577	173	380	287	351	355
ATP8A2	0	0	0	0	0	0
SHISA2	0	0	0	0	0	0
RNF6	34	16	46	11	48	10
CDK8	288	35	281	36	280	37
WASF3	1	1	2	1	3	0
GPR12	1	1	1	0	1	0
USP12	223	164	165	235	156	274
USP12-AS1	1	4	2	3	2	2
USP12-AS2	2	2	4	1	4	0
LINC00412	0	2	0	0	0	0
SNORD102	461	22	217	56	188	83
SNORA27	48	15	31	26	28	32
RASL11A	3	2	1	7	1	11
GTF3A	312	177	238	244	227	280
MTIF3	549	283	507	311	499	324
LNX2	154	76	79	169	69	238
POLR1D	77	42	110	27	118	23
ATP5EP2	1	5	4	1	5	0
CDX2	0	0	0	2	0	4
URAD	0	2	0	0	0	0
FLT3	2184	2154	2057	2315	2033	2387
PAN3-AS1	9	29	35	5	45	2
PAN3	1222	1433	3060	476	3645	298
FLT1	8	51	1	291	1	608
POMP	157	142	302	65	342	46
SLC46A3	35	27	27	37	25	42
MTUS2	918	4828	983	4446	996	4293
MTUS2-AS1	0	0	0	0	0	0
SLC7A1	22	8	9	22	8	33
UBL3	342	191	205	352	186	457
LINC00544	47	30	20	82	17	126
KATNAL1	865	224	651	316	616	365
LINC00426	552	819	639	687	657	637
LINC01058	6	1	3	4	2	6
HMGB1	5389	2389	5154	2520	5110	2578
USPL1	1383	1009	1350	1040	1343	1053
ALOX5AP	1069	5725	2338	2241	2714	1504
MEDAG	7	6	5	10	4	12
HSPH1	1883	1555	1572	1930	1519	2116
B3GLCT	0	0	0	1	0	2
RXFP2	1	1	1	0	1	0
EEF1DP3	4	5	1	16	1	25
FRY-AS1	0	0	0	0	0	0
FRY	43	124	38	142	37	150
BRCA2	361	269	591	149	649	116
N4BP2L1	28	63	43	39	46	32
N4BP2L2	1429	1385	1449	1362	1453	1353
MINOS1P1	0	8	0	2	0	1
N4BP2L2-IT2	229	8640	1115	1299	1507	580
PDS5B	400	228	344	273	335	295
KL	0	0	0	0	0	1
STARD13	0	0	0	0	0	0
STARD13-AS	0	0	0	0	0	0
RFC3	126	94	221	48	246	36
NBEA	1217	4742	718	8920	649	11668
MAB21L1	1	2	0	6	0	9
LINC00445	0	0	0	0	0	0
CCDC169	0	2	0	0	0	0
SPG20	297	304	546	146	613	107
SPG20-AS1	0	0	0	0	0	0
CCNA1	1	0	1	0	1	0
RFXAP	55	28	34	51	31	66
SMAD9	0	0	0	0	0	0
ALG5	14	2	8	6	7	8
EXOSC8	171	140	211	108	220	97
SUPT20H	351	169	189	353	168	484
CSNK1A1L	0	1	0	0	0	0
POSTN	1	1	2	0	2	0
TRPC4	1	1	1	0	1	0
LINC00571	0	0	0	0	0	0
UFM1	1177	280	526	734	451	1106
FREM2	1	2	2	1	3	0
PROSER1	929	428	1006	389	1022	373
NHLRC3	88	190	131	119	141	97
LHFP	5	0	0	3	0	10
COG6	50	36	41	47	39	52
MIR4305	0	0	0	0	0	1
LINC00598	5	0	2	2	2	3
FOXO1	1439	360	759	775	672	1074
MRPS31	15	11	3	57	2	113
SLC25A15	54	64	85	37	93	29
TPTE2P5	5	1	2	3	2	5
SUGT1P3	0	0	0	1	0	1
ELF1	369	116	323	136	315	145
WBP4	444	253	452	247	454	245
KBTBD6	3	8	4	7	4	6
LOC101929140	42	23	30	33	28	39
KBTBD7	17	28	27	16	30	12
MTRF1	11	8	5	22	4	33
NAA16	227	194	164	288	154	340
OR7E37P	0	0	0	0	0	0
RGCC	1	1	2	0	2	0
VWA8	3	1	4	0	5	0
VWA8-AS1	0	0	0	0	0	0
DGKH	8	6	6	8	6	8
AKAP11	263	155	325	120	339	108
TNFSF11	0	3	0	0	0	0
FAM216B	3	4	5	1	6	1
LINC00428	54	40	26	95	23	137
EPSTI1	549	1204	1067	543	1211	387
DNAJC15	23	34	52	13	60	8
LINC00400	0	0	0	0	0	0
ENOX1	7	2	4	5	3	7
CCDC122	20	6	15	10	14	11
LACC1	55	0	10	6	7	14
SMIM2-AS1	0	0	0	0	0	0
SMIM2	0	2	0	0	1	0
SMIM2-IT1	1	0	0	0	0	0
MIR8079	1	0	0	0	0	0
SERP2	12	20	45	4	57	2
TUSC8	59	53	44	75	42	86
TSC22D1	146	70	92	123	84	156
TSC22D1-AS1	0	1	0	2	0	2
LINC00330	0	0	1	0	1	0
NUFIP1	3	0	0	1	0	2
GPALPP1	15	2	4	10	3	19
GTF2F2	188	91	209	81	213	76
KCTD4	1	0	0	0	0	1
TPT1	15478	3518	13233	4245	12843	4598
SNORA31	2	1	2	1	2	1
TPT1-AS1	90	145	50	290	45	389
SLC25A30	20	15	19	16	19	17
SLC25A30-AS1	0	0	0	0	0	1
COG3	749	473	469	828	429	1051
SIAH3	0	0	0	0	0	0
ZC3H13	1304	878	1436	782	1463	744
CPB2-AS1	2	1	1	3	1	5
CPB2	0	0	0	0	0	0
LCP1	21332	14387	23178	13024	23547	12485
LRRC63	1	0	1	0	1	0
LINC00563	0	0	0	0	0	0
KIAA0226L	1925	2016	961	4634	842	6601
LRCH1	88	46	40	119	34	179
ESD	2444	727	1980	936	1902	1042
LINC00562	0	0	0	0	0	0
SUCLA2	242	124	123	277	109	390
NUDT15	85	101	157	48	176	35
MED4	65	33	116	16	129	12
MED4-AS1	0	0	0	0	0	0
ITM2B	885	743	611	1159	569	1400
LINC00441	5	5	5	6	5	6
RB1	3884	988	2151	2008	1922	2713
LPAR6	1419	1621	1821	1202	1909	1058
RCBTB2	633	724	769	573	798	519
CYSLTR2	40	6	19	16	17	23
FNDC3A	366	258	225	463	205	592
MLNR	0	0	0	1	0	2
CDADC1	51	124	80	72	87	57
CAB39L	0	0	0	0	0	0
SETDB2	449	345	552	270	574	243
PHF11	569	411	390	646	363	784
RCBTB1	647	499	730	433	747	407
ARL11	126	89	137	81	139	77
EBPL	789	482	508	818	467	1024
KPNA3	279	53	163	101	148	132
CTAGE10P	0	0	0	0	0	1
SPRYD7	3	0	1	2	1	3
DLEU2	63	53	51	69	49	77
MIR3613	0	0	0	0	0	0
TRIM13	226	745	396	380	441	285
KCNRG	0	4	0	0	0	0
DLEU1	74	361	244	86	307	47
ST13P4	10	19	11	17	11	16
